Date : 2026-01-07 14:48:25
Directory : /workspaces/dev-x-academy-web
Total : 140 files,  13989 codes, 271 comments, 3178 blanks, all 17438 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
| /workspaces/dev-x-academy-web/.github/prompts/typescript-mcp-server-generator.prompt.md                | source.markdown.math |         78 |          0 |         19 |         97 |
| /workspaces/dev-x-academy-web/.github/prompts/write-coding-standards-from-file.prompt.md               | source.markdown.math |        227 |          0 |         95 |        322 |
| /workspaces/dev-x-academy-web/.github/scripts/fix-line-endings.sh                                      | Shell Script         |          3 |          3 |          4 |         10 |
| /workspaces/dev-x-academy-web/README.md                                                                | source.markdown.math |          2 |          0 |          2 |          4 |
| /workspaces/dev-x-academy-web/bun.lock                                                                 | JSON with Comments   |          2 |          0 |          0 |          2 |
| /workspaces/dev-x-academy-web/doc/SECURITY_FEATURES.md                                                 | source.markdown.math |       -278 |          0 |       -110 |       -388 |
| /workspaces/dev-x-academy-web/doc/api-endpoints.md                                                     | source.markdown.math |         21 |          0 |          0 |         21 |
| /workspaces/dev-x-academy-web/doc/api-implementation-guide.md                                          | source.markdown.math |         25 |          0 |          2 |         27 |
| /workspaces/dev-x-academy-web/doc/api_tests.md                                                         | source.markdown.math |         23 |          0 |          0 |         23 |
| /workspaces/dev-x-academy-web/doc/api_tests_quick_ref.md                                               | source.markdown.math |         24 |          0 |          0 |         24 |
| /workspaces/dev-x-academy-web/doc/authentication-and-user-profiles.md                                  | source.markdown.math |         12 |          0 |          1 |         13 |
| /workspaces/dev-x-academy-web/doc/authentication-guide.md                                              | source.markdown.math |        100 |          0 |          4 |        104 |
| /workspaces/dev-x-academy-web/doc/awesome-claude-code-resources.md                                     | source.markdown.math |        191 |          0 |         76 |        267 |
| /workspaces/dev-x-academy-web/doc/claude-code-vs-copilot-instructions.md                               | source.markdown.math |        381 |          0 |        133 |        514 |
| /workspaces/dev-x-academy-web/doc/grafana_quick_start.md                                               | source.markdown.math |        129 |          0 |         57 |        186 |
| /workspaces/dev-x-academy-web/doc/grafana_setup.md                                                     | source.markdown.math |        295 |          0 |        127 |        422 |
| /workspaces/dev-x-academy-web/doc/legal-pages-integration-guide.md                                     | source.markdown.math |         22 |          0 |          1 |         23 |
| /workspaces/dev-x-academy-web/doc/mermaid-theme-guide.md                                               | source.markdown.math |        144 |          0 |         46 |        190 |
| /workspaces/dev-x-academy-web/doc/metrics_implementation.md                                            | source.markdown.math |        375 |          0 |        136 |        511 |
| /workspaces/dev-x-academy-web/doc/metrics_quick_reference.md                                           | source.markdown.math |        329 |          0 |        133 |        462 |
| /workspaces/dev-x-academy-web/doc/metrics_testing_guide.md                                             | source.markdown.math |        318 |          0 |        145 |        463 |
| /workspaces/dev-x-academy-web/doc/multilingual-implementation-guide.md                                 | source.markdown.math |         19 |          0 |          1 |         20 |
| /workspaces/dev-x-academy-web/doc/opentelemetry_architecture.md                                        | source.markdown.math |         92 |          0 |         19 |        111 |
| /workspaces/dev-x-academy-web/doc/opentelemetry_setup.md                                               | source.markdown.math |         16 |          0 |          6 |         22 |
| /workspaces/dev-x-academy-web/doc/playwright.md                                                        | source.markdown.math |         22 |          0 |          1 |         23 |
| /workspaces/dev-x-academy-web/doc/playwright_setup.md                                                  | source.markdown.math |         14 |          0 |          1 |         15 |
| /workspaces/dev-x-academy-web/doc/prisma-introduction.md                                               | source.markdown.math |         36 |          0 |          1 |         37 |
| /workspaces/dev-x-academy-web/doc/rest-api-vs-prisma-comparison.md                                     | source.markdown.math |         20 |          0 |          1 |         21 |
| /workspaces/dev-x-academy-web/doc/security_features.md                                                 | source.markdown.math |        280 |          0 |        112 |        392 |
| /workspaces/dev-x-academy-web/doc/tempo_queries.md                                                     | source.markdown.math |          4 |          0 |          2 |          6 |
| /workspaces/dev-x-academy-web/doc/testing-strategy-nextjs.md                                           | source.markdown.math |        117 |          0 |          4 |        121 |
| /workspaces/dev-x-academy-web/doc/testing.md                                                           | source.markdown.math |          9 |          0 |         -4 |          5 |
| /workspaces/dev-x-academy-web/doc/testing_overview.md                                                  | source.markdown.math |         21 |          0 |          1 |         22 |
| /workspaces/dev-x-academy-web/docs/PASSWORD_RESET_FEATURE.md                                           | source.markdown.math |        229 |          0 |         83 |        312 |
| /workspaces/dev-x-academy-web/grafana_implementation.md                                                | source.markdown.math |        287 |          0 |         92 |        379 |
| /workspaces/dev-x-academy-web/instrumentation.node.ts                                                  | TypeScript           |          0 |         11 |          0 |         11 |
| /workspaces/dev-x-academy-web/middleware.ts                                                            | TypeScript           |         22 |          4 |          5 |         31 |
| /workspaces/dev-x-academy-web/package.json                                                             | JSON                 |          2 |          0 |          0 |          2 |
| /workspaces/dev-x-academy-web/prisma/migrations/20260107125107_add_password_reset_tokens/migration.sql | pgsql                |         13 |          5 |          6 |         24 |
| /workspaces/dev-x-academy-web/prisma/migrations/20260107130350_add_user_preferences/migration.sql      | pgsql                |          7 |          1 |          1 |          9 |
| /workspaces/dev-x-academy-web/prisma/migrations/20260107133659_add_session_tracking/migration.sql      | pgsql                |          5 |          1 |          3 |          9 |
| /workspaces/dev-x-academy-web/prisma/migrations/20260107142548_add_email_change_tokens/migration.sql   | pgsql                |          2 |          2 |          2 |          6 |
| /workspaces/dev-x-academy-web/prisma/migrations/20260107_add_email_change_tokens/migration.sql         | pgsql                |         14 |          2 |          2 |         18 |
| /workspaces/dev-x-academy-web/prisma/migrations/20260107_add_session_tracking/migration.sql            | pgsql                |         13 |          2 |          2 |         17 |
| /workspaces/dev-x-academy-web/prisma/schema.prisma                                                     | Prisma               |         33 |        -17 |        -17 |         -1 |
| /workspaces/dev-x-academy-web/scripts/reset-password.ts                                                | TypeScript           |         45 |          7 |         12 |         64 |
| /workspaces/dev-x-academy-web/src/app/(auth)/forgot-password/page.tsx                                  | TypeScript JSX       |        113 |          8 |         15 |        136 |
| /workspaces/dev-x-academy-web/src/app/(auth)/reset-password/page.tsx                                   | TypeScript JSX       |        180 |         14 |         25 |        219 |
| /workspaces/dev-x-academy-web/src/app/(protected)/profile/page.tsx                                     | TypeScript JSX       |        377 |         15 |         39 |        431 |
| /workspaces/dev-x-academy-web/src/app/api/auth/forgot-password/route.ts                                | TypeScript           |        119 |         10 |         13 |        142 |
| /workspaces/dev-x-academy-web/src/app/api/auth/register/route.ts                                       | TypeScript           |          1 |          0 |          0 |          1 |
| /workspaces/dev-x-academy-web/src/app/api/auth/reset-password/route.ts                                 | TypeScript           |        119 |          6 |         21 |        146 |
| /workspaces/dev-x-academy-web/src/app/api/user/delete/route.ts                                         | TypeScript           |         62 |          3 |         14 |         79 |
| /workspaces/dev-x-academy-web/src/app/api/user/email/request-change/route.ts                           | TypeScript           |         81 |          7 |         15 |        103 |
| /workspaces/dev-x-academy-web/src/app/api/user/email/verify-change/route.ts                            | TypeScript           |         94 |          5 |         17 |        116 |
| /workspaces/dev-x-academy-web/src/app/api/user/profile/route.ts                                        | TypeScript           |         28 |          0 |          0 |         28 |
| /workspaces/dev-x-academy-web/src/app/api/user/sessions/route.ts                                       | TypeScript           |         62 |         10 |         10 |         82 |
| /workspaces/dev-x-academy-web/src/app/globals.css                                                      | PostCSS              |         19 |          2 |          2 |         23 |
| /workspaces/dev-x-academy-web/src/app/verify-email-change/page.tsx                                     | TypeScript JSX       |        103 |          1 |         13 |        117 |
| /workspaces/dev-x-academy-web/src/auth.ts                                                              | TypeScript           |          2 |          1 |          1 |          4 |
| /workspaces/dev-x-academy-web/src/components/layout/layout-wrapper.tsx                                 | TypeScript JSX       |          3 |          0 |          0 |          3 |
| /workspaces/dev-x-academy-web/src/contexts/ThemeContext.tsx                                            | TypeScript JSX       |         85 |          9 |         20 |        114 |
| /workspaces/dev-x-academy-web/src/lib/email-service.ts                                                 | TypeScript           |        149 |          4 |          5 |        158 |
| /workspaces/dev-x-academy-web/src/lib/ip-utils.ts                                                      | TypeScript           |         19 |          1 |          2 |         22 |
| /workspaces/dev-x-academy-web/src/lib/login-logger.ts                                                  | TypeScript           |         27 |          4 |          4 |         35 |
| /workspaces/dev-x-academy-web/src/lib/metrics.ts                                                       | TypeScript           |        303 |         67 |         78 |        448 |
| /workspaces/dev-x-academy-web/src/lib/session-tracker.ts                                               | TypeScript           |        135 |         24 |         18 |        177 |
| /workspaces/dev-x-academy-web/src/lib/user-agent-parser.ts                                             | TypeScript           |        130 |         14 |         12 |        156 |
| Total                                                                                                  |                      |     13,989 |        271 |      3,178 |     17,438 |
+--------------------------------------------------------------------------------------------------------+----------------------+------------+------------+------------+------------+
